Time	T° eGFP:488,520	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:00:11	27	787	823	868	858	828	787	789	862	801	865	937	895	876	821	916	915	1007	894	887	865	940	901	914	853	873	970	835	845	878	802	792	908	858	832	824	781	822	834	893	852	843	806	811	818	840	827	823	894	1208	5936	2057	1580	1326	4274	2910	1675	1704	2480	1787	1020	2397	5289	3357	3507	1457	1152	5645	1201	4882	2832	1818	987	1434	1157	890	817	1444	1341	1269	1657	2784	2703	2750	2217	1002	920	914	782	1035	854	903	859	851	832	826	864
0:16:15	29	775	864	846	870	823	799	765	834	772	877	917	896	825	843	875	914	964	895	890	838	937	921	903	837	859	979	841	827	849	849	795	876	817	832	832	770	818	801	871	801	848	819	792	798	822	794	789	861	1388	3901	2496	1861	1540	3555	3434	2021	1981	3009	2158	1134	2882	3829	4157	4391	1867	1517	3500	1430	5477	2248	2047	1144	1633	1138	905	827	1610	1496	1352	2097	2334	3149	3235	2257	1141	1004	944	812	1140	872	954	878	819	799	832	811
0:32:18	29	793	819	829	845	799	775	770	854	798	838	943	857	821	866	897	892	993	888	881	859	924	857	885	820	832	974	823	854	852	824	823	893	841	849	831	794	796	827	881	787	859	819	797	814	836	800	794	865	1523	4053	2797	2110	1691	3760	3757	2285	2150	3503	2461	1241	3280	4130	4813	5185	2155	1653	3666	1572	6328	2318	2248	1168	1826	1176	868	805	1784	1622	1490	2342	2313	3725	3761	2434	1212	999	982	819	1208	912	941	891	798	802	851	818
0:48:22	29	780	827	861	847	837	800	747	857	789	879	917	905	798	839	906	882	984	891	922	856	910	875	901	813	845	1011	832	829	828	829	784	914	831	818	796	774	855	824	865	778	869	807	810	774	823	792	811	882	1602	4336	2966	2277	1774	3738	3997	2454	2267	3734	2654	1288	3398	4080	5207	5519	2311	1786	3719	1644	6483	2361	2368	1224	1905	1191	894	806	1843	1732	1562	2574	2110	4072	4037	2250	1227	1039	1001	795	1213	896	986	894	810	802	828	823
1:04:25	29	806	838	839	845	816	800	777	839	790	845	941	893	809	833	870	869	997	882	866	841	901	865	885	831	857	963	835	826	837	820	793	848	828	829	832	783	828	830	851	802	844	784	797	780	816	826	784	872	1732	4404	3152	2520	1887	3866	4160	2621	2460	3968	2805	1310	3632	4184	5687	5896	2467	1812	3655	1695	6892	2440	2549	1260	2007	1309	933	798	1914	1849	1657	2779	1997	4392	4425	2235	1201	1028	1009	799	1246	915	1008	900	827	794	816	824
1:20:29	29	788	815	828	859	790	779	776	867	786	897	910	862	806	845	857	897	999	889	896	846	916	890	918	816	844	947	810	844	834	799	798	892	844	826	805	789	826	803	852	800	836	778	771	794	801	792	785	865	1762	4556	3274	2693	1940	3962	4333	2730	2583	4197	2953	1350	3919	4259	6031	6254	2555	1890	3786	1747	7459	2536	2668	1296	2106	1326	916	803	2019	1861	1732	2906	2054	4725	4701	2426	1226	1008	1024	781	1264	917	1006	896	810	805	801	794
1:36:32	29	776	816	836	851	824	796	772	824	788	887	912	881	808	818	871	886	1008	913	892	826	902	857	877	811	824	974	842	837	832	809	825	854	829	810	818	770	813	843	865	773	834	761	780	793	829	790	770	873	1853	4627	3402	2887	2057	4044	4583	2871	2749	4612	3186	1393	4105	4324	6461	6792	2706	1985	3877	1818	8037	2643	2790	1334	2229	1344	942	780	2095	1947	1791	3110	2032	5089	4986	2425	1268	1049	1048	800	1281	956	1027	901	812	800	782	799
1:52:35	29	765	837	853	834	822	773	774	846	788	921	922	873	803	830	869	880	974	882	879	836	899	890	910	815	817	996	840	836	846	798	789	872	852	846	830	748	796	825	848	780	864	784	781	807	816	782	794	869	1943	4865	3644	3038	2195	4263	4758	3122	2887	4907	3372	1440	4324	4560	6793	7159	2862	2100	4017	1921	8737	2712	3020	1400	2367	1404	948	793	2236	2102	1890	3230	2138	5403	5339	2512	1279	1032	1030	798	1267	916	1030	911	813	832	811	813
2:08:39	29.1	801	816	847	855	827	788	758	842	774	920	919	868	821	846	865	880	1006	897	866	850	903	892	898	793	845	958	837	831	840	809	795	859	846	812	807	764	811	806	857	777	836	785	778	792	831	780	768	859	2059	5058	3923	3257	2307	4338	5128	3300	3111	5283	3629	1525	4668	4849	7402	7772	3006	2243	4254	2051	9358	2970	3208	1467	2561	1446	949	800	2363	2203	2038	3406	2209	5790	5570	2773	1252	1066	1024	779	1297	935	1023	934	806	783	829	787
2:24:42	29	764	841	829	831	821	793	787	826	784	966	934	882	796	839	877	893	986	904	887	849	908	898	887	797	826	960	821	836	824	811	776	875	805	822	800	772	832	834	863	810	871	790	811	784	828	798	804	871	2174	5434	4084	3515	2457	4595	5506	3603	3244	5755	3812	1627	4953	4964	7991	8366	3144	2291	4527	2180	10402	3098	3395	1513	2730	1568	978	813	2523	2371	2113	3584	2504	6260	5872	2992	1277	1053	1028	792	1348	949	1044	931	802	790	803	825
2:40:45	29	785	795	830	882	832	773	768	846	788	1010	890	862	833	812	868	893	995	867	865	839	937	876	872	824	824	990	796	829	817	812	797	863	841	780	793	770	820	815	858	780	827	793	773	796	819	755	772	874	2392	5718	4415	3791	2608	4971	5872	3872	3499	6348	4021	1693	5387	5457	8820	9149	3305	2427	4753	2299	11556	3349	3592	1649	2970	1619	1019	785	2670	2503	2243	3770	2652	6578	6128	3204	1303	1069	1036	795	1295	924	1064	921	812	792	800	814
2:56:49	29.1	778	834	815	840	833	783	789	849	775	1025	906	880	806	820	876	912	987	868	862	812	884	874	920	813	828	1005	821	828	807	815	791	864	829	806	802	768	816	806	866	822	852	806	802	789	827	778	804	843	2562	6133	4667	4143	2742	5186	6336	4112	3725	6892	4306	1792	5811	5828	9684	10073	3409	2553	5206	2478	12450	3521	3804	1693	3232	1716	1003	813	2780	2561	2352	3972	2850	6902	6274	3383	1361	1079	1074	772	1337	964	1046	940	809	787	813	790
3:12:52	29	783	828	868	835	845	771	774	831	766	1060	934	879	803	838	869	896	1000	854	865	843	895	874	896	810	833	980	825	842	817	816	774	896	814	815	828	767	829	812	866	787	845	780	792	791	843	803	784	860	2719	6588	5022	4362	2962	5544	6908	4451	3943	7709	4625	1932	6288	6285	10642	10851	3682	2734	5677	2524	13242	3764	4073	1789	3437	1840	1015	799	2990	2698	2456	4124	3680	7298	6849	3948	1366	1061	1083	791	1340	979	1058	972	799	773	799	826
3:28:56	29	766	838	853	838	805	772	788	856	780	1087	923	891	814	853	855	909	1002	879	900	804	887	853	899	817	827	956	813	807	809	812	805	879	842	824	811	766	838	829	863	795	856	799	802	816	821	804	817	883	2959	6932	5510	4720	3109	5821	7675	4747	4132	8407	4924	1982	6643	6667	11596	11561	3878	2838	6095	2729	14047	3963	4386	1907	3583	1944	1056	817	3111	2809	2479	4316	4212	7824	7326	4238	1414	1093	1098	782	1352	978	1054	966	803	796	797	830
3:44:59	29	788	779	860	843	832	763	754	847	784	1149	939	866	832	817	882	894	1005	880	871	849	900	885	905	834	852	968	806	827	823	800	799	858	835	822	797	772	827	798	855	797	886	781	808	784	818	798	775	855	3188	7733	6022	5100	3348	6305	8391	5192	4399	9271	5443	2153	7285	7084	12605	12542	4079	2946	6408	2855	15372	4275	4862	1991	3911	2097	1063	821	3335	2987	2573	4605	5041	8465	7790	4422	1443	1102	1124	809	1380	983	1100	956	788	823	790	826
4:01:02	29	790	821	871	861	819	758	732	850	778	1189	931	892	811	837	924	905	1044	897	855	841	917	883	893	838	820	990	796	842	826	799	765	888	822	844	793	784	823	818	878	792	875	796	776	768	827	779	808	877	3430	8545	6585	5743	3467	6663	9503	5687	4928	10069	6033	2289	7855	7683	13715	13691	4466	3099	6728	2952	16400	4558	5275	2144	4074	2225	1107	818	3466	3059	2666	4822	5951	9268	8242	4925	1525	1134	1135	764	1426	982	1127	979	778	803	778	814
4:17:06	29	774	793	874	816	827	759	783	858	765	1219	935	869	818	847	879	921	1025	861	869	839	895	866	892	810	841	980	818	821	844	822	788	890	828	823	792	746	828	832	865	794	865	793	775	796	867	781	769	888	3781	9687	7036	6218	3718	7469	10153	6084	5295	10847	6612	2377	8639	8573	15268	15019	4808	3335	7364	3183	17789	4940	5785	2296	4299	2488	1170	815	3691	3184	2846	5403	6888	10033	8254	5350	1617	1163	1177	793	1451	990	1111	952	793	803	788	830
4:33:09	29	773	822	865	875	832	761	802	859	772	1284	946	883	817	839	909	908	1025	888	892	859	911	860	922	808	820	999	818	837	850	801	803	867	836	814	817	795	831	817	869	790	900	767	778	805	829	791	769	882	4059	10430	7530	6727	3944	7869	10839	6656	5946	11336	6710	2542	9267	9368	16929	16825	5190	3571	7864	3319	18766	5233	6008	2379	4564	2677	1213	847	3791	3241	2841	5770	7997	10755	8345	5703	1681	1210	1198	784	1507	1009	1134	1015	821	780	810	806
4:49:12	29.1	770	830	872	849	811	777	754	845	767	1354	944	879	841	820	903	900	1040	877	881	832	881	883	914	798	816	989	811	833	792	788	795	869	830	787	825	785	831	825	843	801	880	796	766	793	824	793	782	875	4539	11220	8187	7506	4198	8827	11620	7277	6462	12275	7242	2752	10208	10268	18963	18165	5801	3751	8743	3556	20683	5717	6303	2529	4904	2821	1238	819	3965	3484	2908	6096	9429	11203	8747	6061	1802	1286	1242	814	1608	973	1188	986	787	813	819	807
5:05:16	29	780	854	896	852	848	759	783	828	770	1402	935	910	839	843	886	888	1036	881	868	833	915	871	918	796	833	998	834	823	848	799	786	850	819	836	808	783	809	823	872	791	876	797	804	770	823	762	798	884	4988	12504	9167	8199	4549	9761	12655	8309	7106	13521	7789	2929	11090	11118	20794	19725	6432	4108	9645	3757	22400	6475	6685	2681	5243	3015	1272	824	4228	3768	3175	6654	10771	11972	9328	6586	1856	1327	1299	779	1670	1021	1198	990	790	793	789	813
5:21:19	29	804	821	894	869	839	780	772	842	779	1507	951	870	817	848	883	908	1051	877	888	830	875	862	873	811	827	998	818	844	828	798	793	876	811	808	806	767	834	811	862	793	891	813	800	777	826	787	791	908	5538	14181	9857	8667	4832	10673	13765	9206	7566	14353	8265	3152	11884	11961	22806	21328	6882	4489	10479	4064	23602	7058	7346	2850	5675	3283	1374	847	4487	4050	3434	6860	11826	12588	10162	7063	1962	1381	1377	787	1735	1052	1223	1030	802	815	796	813
5:37:23	29	773	863	898	848	835	762	757	868	755	1622	952	880	832	859	887	917	1062	900	858	830	893	905	902	842	844	998	834	827	848	784	787	886	841	817	795	783	845	806	881	797	910	788	829	773	847	790	779	902	6349	15951	10780	10291	5323	11590	15375	10648	8210	16123	9084	3494	13100	12843	24447	22671	7407	5056	11106	4481	25129	7993	7800	3168	6240	3433	1457	824	4880	4532	3766	7321	13163	13439	10994	7735	2041	1465	1394	790	1861	1077	1314	993	802	814	809	813
5:53:26	29	789	828	908	854	852	780	791	856	787	1799	972	929	822	875	871	931	1069	874	881	840	901	886	897	816	852	1021	812	829	823	798	800	867	837	816	811	763	855	837	885	803	920	821	787	786	852	761	781	869	7007	17518	11766	11154	5701	12442	16557	11143	8640	17247	9969	3821	14355	14041	26728	24301	7864	5688	12094	4976	27275	8962	8716	3375	6670	3585	1506	831	5291	4971	4101	7788	13939	14009	11858	8430	2171	1527	1443	801	2004	1106	1405	1021	802	787	810	796
