orf	gene	chromo	numbAcross	type	GFP_LOD	GFP_effect	GFP_maxPOS	GFP_leftPOS	GFP_rightPOS	mCH_LOD	mCH_effect	mCH_maxPOS	mCH_leftPOS	mCH_rightPOS
YDL022W	GPD1	2	6	gfp	9.95611111111111	-0.123835173364988	416816.666666667	347850	455300	1.68166666666667	-0.0348695122599279	416816.666666667	347850	455300
YDL022W	GPD1	2	2	mch	0.649166666666667	-0.0187397029460225	585700	533350	642550	3.55	-0.0722792144192883	585700	533350	642550
YDL022W	GPD1	4	5	gfp	6.76733333333333	-0.108453336915234	208160	171780	266640	2.561	-0.0543605947573791	208160	171780	266640
YDL022W	GPD1	4	2	gfp	3.2775	0.0633070662302374	1109800	1067050	1165100	0.0075	-0.00222223083999106	1109800	1067050	1165100
YDL022W	GPD1	5	6	gfp	14.1766666666667	0.146497212048185	382650	348250	431533.333333333	8.64444444444444	-0.0778154931136313	382650	348250	431533.333333333
YDL022W	GPD1	5	6	mch	9.6875	0.0976498308310876	515216.666666667	502633.333333333	530566.666666667	46.6136111111111	-0.279484831690151	515216.666666667	502633.333333333	530566.666666667
YDL022W	GPD1	7	3	gfp	3.05055555555556	0.063719194752066	161300	94033.3333333333	238233.333333333	0.148888888888889	-0.00614339979046357	161300	94033.3333333333	238233.333333333
YDL022W	GPD1	8	5	mch	0.0956666666666667	0.0160349004874303	109360	46460	147620	4.336	-0.0982448011774204	109360	46460	147620
YDL022W	GPD1	8	5	gfp	3.451	-0.0719673746634932	362440	285240	456880	1.261	-0.0340980558612247	362440	285240	456880
YDL022W	GPD1	10	6	gfp	94.1813888888889	-0.430413432051815	154016.666666667	143983.333333333	165933.333333333	0.852777777777778	0.0238359471286133	154016.666666667	143983.333333333	165933.333333333
YDL022W	GPD1	10	6	gfp	10.8927777777778	0.13274523976617	661066.666666667	621983.333333333	697200	1.11555555555556	-0.0231721125050486	661066.666666667	621983.333333333	697200
YDL022W	GPD1	11	6	gfp	24.9427777777778	-0.211428779577543	268500	243850	306666.666666667	1.42361111111111	-0.034379631032223	268500	243850	306666.666666667
YDL022W	GPD1	12	3	gfp	3.79722222222222	-0.0642384661247763	224633.333333333	156133.333333333	372266.666666667	0.336111111111111	-0.0137270664579277	224633.333333333	156133.333333333	372266.666666667
YDL022W	GPD1	12	1	gfp	3.58333333333333	-0.0734955662032177	346500	273000	375700	0.17	0.00464471733668044	346500	273000	375700
YDL022W	GPD1	12	5	oposite	12.4776666666667	0.134269052878278	689920	648320	724140	15.3777777777778	-0.160226912487039	692650	653600	733266.666666667
YDL022W	GPD1	12	3	gfp	6.50555555555556	0.0962856852678264	928500	879233.333333333	962133.333333333	0.689444444444444	0.0298462152210532	928500	879233.333333333	962133.333333333
YDL022W	GPD1	13	6	mch	2.73555555555556	0.0402777095179781	36716.6666666667	0	107850	3.91861111111111	-0.0829390900623336	36716.6666666667	0	107850
YDL022W	GPD1	13	6	gfp	13.2241666666667	0.147029135687682	253666.666666667	202433.333333333	295116.666666667	1.53361111111111	0.0493659922419338	253666.666666667	202433.333333333	295116.666666667
YDL022W	GPD1	14	6	together	7.58777777777778	0.109683360473821	524800	468166.666666667	576250	57.1702777777778	0.312338884480613	472933.333333333	454566.666666667	492616.666666667
YDL022W	GPD1	15	3	gfp	3.28444444444444	-0.0696536212535049	157233.333333333	98766.6666666667	202100	2.30111111111111	-0.0561968708629949	157233.333333333	98766.6666666667	202100
YDR099W	BMH2	1	2	gfp	10.4025	-0.137931067643789	152400	120350	207800	0.215	-0.00731782432639735	152400	120350	207800
YDR099W	BMH2	2	1	mch	1.56	0.0457767115329451	575500	537100	601800	7.455	-0.106611940886531	575500	537100	601800
YDR099W	BMH2	4	2	gfp	5.585	-0.0987388239217802	174800	139900	231600	2.9925	-0.0674759020704144	174800	139900	231600
